ESTAB,EMPSZES,NAICS2012,zipcode,year
0,260,72,37203,2015
55,1,71,37204,2015
43,212,71,37204,2015
6,220,71,37204,2015
1,230,71,37204,2015
5,241,71,37204,2015
0,242,71,37204,2015
0,251,71,37204,2015
0,252,71,37204,2015
0,254,71,37204,2015
0,260,71,37204,2015
92,1,72,37204,2015
26,212,72,37204,2015
6,220,72,37204,2015
27,230,72,37204,2015
23,241,72,37204,2015
9,242,72,37204,2015
1,251,72,37204,2015
0,252,72,37204,2015
0,254,72,37204,2015
0,260,72,37204,2015
28,1,71,37205,2015
17,212,71,37205,2015
3,220,71,37205,2015
3,230,71,37205,2015
1,241,71,37205,2015
1,242,71,37205,2015
3,251,71,37205,2015
0,252,71,37205,2015
0,254,71,37205,2015
0,260,71,37205,2015
58,1,72,37205,2015
12,212,72,37205,2015
8,220,72,37205,2015
9,230,72,37205,2015
18,241,72,37205,2015
8,242,72,37205,2015
3,251,72,37205,2015
0,252,72,37205,2015
0,254,72,37205,2015
0,260,72,37205,2015
22,1,71,37206,2015
18,212,71,37206,2015
1,220,71,37206,2015
2,230,71,37206,2015
1,241,71,37206,2015
0,242,71,37206,2015
0,251,71,37206,2015
0,252,71,37206,2015
0,254,71,37206,2015
0,260,71,37206,2015
74,1,72,37206,2015
18,212,72,37206,2015
7,220,72,37206,2015
20,230,72,37206,2015
22,241,72,37206,2015
7,242,72,37206,2015
0,251,72,37206,2015
0,252,72,37206,2015
0,254,72,37206,2015
0,260,72,37206,2015
7,1,71,37207,2015
7,212,71,37207,2015
0,220,71,37207,2015
0,230,71,37207,2015
0,241,71,37207,2015
0,242,71,37207,2015
0,251,71,37207,2015
0,252,71,37207,2015
0,254,71,37207,2015
0,260,71,37207,2015
59,1,72,37207,2015
20,212,72,37207,2015
9,220,72,37207,2015
16,230,72,37207,2015
12,241,72,37207,2015
2,242,72,37207,2015
0,251,72,37207,2015
0,252,72,37207,2015
0,254,72,37207,2015
0,260,72,37207,2015
4,1,71,37208,2015
4,212,71,37208,2015
0,220,71,37208,2015
0,230,71,37208,2015
0,241,71,37208,2015
0,242,71,37208,2015
0,251,71,37208,2015
0,252,71,37208,2015
0,254,71,37208,2015
0,260,71,37208,2015
48,1,72,37208,2015
18,212,72,37208,2015
8,220,72,37208,2015
11,230,72,37208,2015
8,241,72,37208,2015
3,242,72,37208,2015
0,251,72,37208,2015
0,252,72,37208,2015
0,254,72,37208,2015
0,260,72,37208,2015
16,1,71,37209,2015
8,212,71,37209,2015
3,220,71,37209,2015
2,230,71,37209,2015
1,241,71,37209,2015
2,242,71,37209,2015
0,251,71,37209,2015
0,252,71,37209,2015
0,254,71,37209,2015
0,260,71,37209,2015
102,1,72,37209,2015
22,212,72,37209,2015
17,220,72,37209,2015
26,230,72,37209,2015
29,241,72,37209,2015
7,242,72,37209,2015
1,251,72,37209,2015
0,252,72,37209,2015
0,254,72,37209,2015
0,260,72,37209,2015
14,1,71,37210,2015
10,212,71,37210,2015
1,220,71,37210,2015
2,230,71,37210,2015
1,241,71,37210,2015
0,242,71,37210,2015
0,251,71,37210,2015
0,252,71,37210,2015
0,254,71,37210,2015
0,260,71,37210,2015
38,1,72,37210,2015
11,212,72,37210,2015
8,220,72,37210,2015
6,230,72,37210,2015
7,241,72,37210,2015
4,242,72,37210,2015
2,251,72,37210,2015
0,252,72,37210,2015
0,254,72,37210,2015
0,260,72,37210,2015
27,1,71,37211,2015
16,212,71,37211,2015
