grace,chord,rest,note_Id,duration,voice,type,dot,accidental,stem,staff,default-x,default-y,measure_Id
"","","",412,"","1","16th","","","up","1","7.75","-5.00",36
"","","",413,"","1","16th","","sharp","up","1","30.17","0.00",36
"","","",414,"30","1","eighth","","","down","1","41.88","-5.00",36
"","","",415,"30","1","eighth","","sharp","down","1","77.72","-15.00",36
"","","",416,"30","1","eighth","","","down","1","113.57","-25.00",36
"","","",417,"30","1","eighth","","","down","1","149.41","0.00",36
"","","",418,"60","1","quarter","","","down","1","185.25","-5.00",36
"","","",419,"60","5","quarter","","","up","2","41.88","-140.00",36
"","","",420,"60","5","quarter","","","down","2","113.57","-120.00",36
"","","",421,"60","5","quarter","","","down","2","113.57","-105.00",36
"","","",422,"60","5","quarter","","sharp","down","2","113.57","-95.00",36
"","","",423,"60","5","quarter","","","down","2","185.25","-120.00",36
"","","",424,"60","5","quarter","","","down","2","185.25","-105.00",36
"","","",425,"60","5","quarter","","","down","2","185.25","-95.00",36
"","","",426,"30","1","eighth","","","down","1","51.25","15.00",37
"","","",427,"30","1","eighth","","sharp","down","1","93.81","20.00",37
"","","",428,"30","1","eighth","","","down","1","136.36","25.00",37
"","","",429,"30","1","eighth","","sharp","down","1","178.91","35.00",37
"","","",430,"30","1","eighth","","","down","1","221.47","30.00",37
"","","",431,"30","1","eighth","","","down","1","264.02","25.00",37
"","","",432,"60","5","quarter","","","up","2","51.25","-155.00",37
